,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
211,Husavik,66.0449,-17.3389,32.67,scattered clouds,83,36,11.36,IS
212,Komsomolskiy,40.4272,71.7189,34.52,mist,86,75,2.3,UZ
213,Vila Velha,-20.3297,-40.2925,73.35,overcast clouds,97,100,6.91,BR
214,Athabasca,54.7169,-113.2854,12.61,overcast clouds,66,98,12.08,CA
215,Cooma,-36.2333,149.1333,69.13,clear sky,52,0,0.94,AU
216,Moindou,-21.6924,165.677,78.42,overcast clouds,87,100,6.13,NC
217,Syamzha,60.0158,41.0614,10.83,overcast clouds,92,100,6.08,RU
218,Kalmunai,7.4167,81.8167,76.46,overcast clouds,88,87,4.09,LK
219,Senanga,-16.1167,23.2667,71.2,clear sky,25,5,4.97,ZM
220,Torbay,47.6666,-52.7314,32.29,broken clouds,77,75,6.91,CA
221,Pisco,-13.7,-76.2167,71.65,clear sky,68,0,21.85,PE
222,Soyo,-6.1349,12.3689,78.58,light rain,87,100,5.88,AO
223,Taguatinga,-12.3857,-46.5711,71.85,heavy intensity rain,87,100,4.14,BR
224,Ixtapa,20.7,-105.2,81.23,broken clouds,77,73,5.01,MX
225,Tazovskiy,67.4667,78.7,-11.34,broken clouds,98,51,4.68,RU
226,Khatanga,71.9667,102.5,7.59,snow,94,100,23.47,RU
227,Belmopan,17.25,-88.7667,76.86,light rain,90,4,3.18,BZ
228,Port Hardy,50.6996,-127.4199,37.58,few clouds,75,20,11.5,CA
229,Cap Malheureux,-19.9842,57.6142,72.46,scattered clouds,74,42,3.0,MU
230,Geilo,60.5333,8.2076,10.22,overcast clouds,99,100,3.29,NO
231,Tasiilaq,65.6145,-37.6368,31.19,snow,97,100,21.0,GL
232,Olinda,-8.0089,-34.8553,82.13,scattered clouds,65,40,8.05,BR
233,Rocha,-34.4833,-54.3333,68.45,overcast clouds,78,97,7.9,UY
234,Yerbogachen,61.2767,108.0108,-1.75,overcast clouds,96,100,9.44,RU
235,Anloga,5.7947,0.8973,80.47,scattered clouds,83,44,11.3,GH
236,Muroto,33.2833,134.15,58.62,overcast clouds,78,100,10.89,JP
237,Chaohu,31.6,117.8667,41.49,overcast clouds,92,100,9.33,CN
238,Katoro,-3.0203,31.8958,65.23,scattered clouds,78,43,3.71,TZ
239,Codrington,-38.2667,141.9667,70.59,broken clouds,64,82,9.15,AU
240,Avera,33.194,-82.5271,65.37,overcast clouds,83,97,5.12,US
241,Flin Flon,54.7682,-101.865,-2.36,broken clouds,65,75,9.22,CA
242,Paita,-5.0892,-81.1144,70.7,scattered clouds,75,37,18.21,PE
243,Griffith,41.5284,-87.4237,32.25,clear sky,48,0,12.66,US
244,Itaituba,-4.2761,-55.9836,84.36,scattered clouds,70,40,3.44,BR
245,Esperance,-33.8667,121.9,61.75,light rain,83,100,13.82,AU
246,Richards Bay,-28.783,32.0377,68.63,overcast clouds,80,100,5.5,ZA
247,Klaksvik,62.2266,-6.589,43.72,overcast clouds,92,100,5.64,FO
248,Aliwal North,-30.6937,26.7114,56.03,clear sky,71,10,7.09,ZA
249,Zaraza,9.3503,-65.3245,77.47,broken clouds,75,84,9.48,VE
250,Skjervoy,70.0311,20.9714,24.8,clear sky,67,1,11.14,NO
251,Minuri,16.535,121.8574,71.64,moderate rain,96,85,0.98,PH
252,Tiznit,29.5833,-9.5,56.01,clear sky,79,1,0.65,MA
253,Alice Springs,-23.7,133.8833,71.15,clear sky,28,0,4.61,AU
254,Sinnamary,5.3833,-52.95,77.4,overcast clouds,86,99,6.49,GF
255,Puerto Leguizamo,-0.1934,-74.7819,86.41,broken clouds,54,51,3.02,CO
256,Asau,46.4333,26.4,29.32,overcast clouds,95,99,2.53,RO
257,Te Anau,-45.4167,167.7167,57.72,overcast clouds,60,100,8.95,NZ
258,Dickinson,29.4608,-95.0513,80.06,broken clouds,76,74,5.01,US
259,Hof,50.3167,11.9167,33.46,overcast clouds,93,100,10.36,DE
260,Bentong,3.5181,101.9079,78.76,overcast clouds,96,100,0.94,MY
261,Northam,51.0333,-4.2167,43.39,broken clouds,82,72,13.47,GB
262,Parit Buntar,5.1267,100.4932,80.29,broken clouds,95,84,2.95,MY
263,Port Blair,11.6667,92.75,80.13,overcast clouds,83,100,10.11,IN
